Chapter,Section,Page,Quote,Annotation,Type
2,Intro,16,"Second, the enactive approach puts the organism and the body center-stage in mind science, but the human body, unless it is dead, is always the lived body. ","How do we define ""dead"" here? At what point is a human body dead? It seems to me like this definition is assuming death is something on/off, rather than maybe being seen as a process. Or, would someone who is brain dead be considered dead if their heart/lungs are still functional (maybe with a machine)? In that case, they may not be able to have a ""lived experience"" in any meaningful sense, but they're completely completely having an undead experience, either. Maybe generative phenomenology is better equipped to answer/deal with that question?",Question
2,Intro,17,"""Static phenomenology analyzes the formal structures of consciousness, whereby consciousness is able to constitute (disclose or bring to awareness) its objects. Static phenomenology takes these intentional structures and their correlative objects as given and analyzes them statically or synchronically.""","This ""definition"" of static phenomenology feels inaccessible and overly complex for a reader who does not have abundant background in phenomenology and philosophy. Especially in the second sentence here, I have a really hard time understanding what exactly Thompson is trying to say, I'm mostly hung up on the meaning of ""correlative objects"" and ""synchronically"". Does anyone have a clearer or more accessible interpretation of what he means here? Also, I think we could all benefit from ""translating"" this definition into something a bit more accessible to better ground our definition of static phenomenology. ","Question, Jargon"
2,Intro,17,"From the perspective of genetic phenomenology, experience has a sedimented structure, and the process of sedimentation needs to be stood in relation to the lived body and time-consciousness. ","Analogy:

The process of sedimentation can be understood as a river sculpting the landscape over time. A river carries sediment depositing layers, and shaping the terrain. This is just like how experiences accumulate within the individual over time. Each experience is like a little portion of sediment carried by the river of consciousness. The lived body in this analogy is the landscape itself, as it's shaped by the flow of the river. Time-consciousness can be understood as the flow of the river, continuous, connected to the present, but layering new experiences. ",Add Context
2,Phenomenology with an Attitude,18,"In other words, once we adopt the phenomenological attitude, we are interested not in what things are in some naive, mind-independent or theory-independent sense, but rather in exactly how they are experienced, as thus as strict relational correlates of our subjectivity. ",This reminds me of the two-realities idea in marriage counseling: https://nwmarriagecounseling.com/2010/02/subjective-reality/,Connection
2,Phenomenology with an Attitude,18,"We can investigate experience in the natural attitude without being prejudiced by an unexamined view of things, which is characteristic of the natural attitude","Natural attitude is not very well defined, it's kind of convolutedly defined in the preceding paragraphs. Definition (from google): The natural attitude refers to things that are usually just taken for granted – rather than subject to critical analysis and doubt, that is 'common-sense' thinking",Add Context
2,Phenomenology with an Attitude,19,epoche... means to suspend or refrain from judgment.,"I am just wondering the relationship between this method and personal experiences or subjectivity. By definition, it seems that this method is meant to be ""limited"" by self, but can different people achieve on the same rule from such method? or is it only personal.",Question
2,Phenomenology with an Attitude,21,"In the natural attitude, reality is taken for granted as being simply there without any active engagement on the part of consciousness. In other words, there is no thought that reality involves acts or processes of constitution.","I'm not sure I like this view. I was thinking about it in relation to a ""predictive processing"" model where the brain only takes a few pieces of perceptual information and uses it to predict future perceptions, so only a small fraction of what we experience is ""there"", and most is anticipated by our brains. Two ""predictive processing"" articles for reference:
 
https://www.newyorker.com/magazine/2018/04/02/the-mind-expanding-ideas-of-andy-clark

https://philpapers.org/rec/CLARPP-3","Question, Connection"
2,Phenomenology with an Attitude,22,"""Transcendental"" signifies a radical attitude, one that aims to regress back to the very roots (conditions of possibility) of our experience of a meaningful world.",Why does transcendental signify a radical attitude? (and what does transcendental mean?),"Question, Jargon"
2,Intentionality,22,"Phenomenologists distinguish different types of intentionality. In a narrow sense, they define intentionality as object-directedness. In a broader sense, they define it as openness to the world or what is “other” (“alterity”). In either case, the emphasis is on denying that consciousness is self-enclosed.
","Under the definition in the book, the difference seems to be on 1) whether the target of intentionality is determinate (narrow) or flexible (broad) and 2) whether the intentionality points towards a fixed direction (narrow) or is dispersed (broad).

The language used here is very interesting(and confusing). Our daily language seem to imply a subject-object dichotomy --- but reading ""object-directness"" in that sense is exactly a failure to practice epoche, or stepping back from the natural attitudes and beliefs. I think of all the weird words Heidegger made up trying to provide a renewed view of this (like ""man is projected into being"").","Add Context , Connection"
2,Phenomenology with an Attitude,22,These roots ramify far beyond individual consciousness into the depth of our lived bodies and out into our social and cultural world.,"does Husserl means that the transcendental subject does not contain any reflective content about the self. As long as one realize self exists, it has already been gone into the subject of experience?",Question
2,Intentionality,23,"Mental life is animated by an intentional striving that aims toward and finds satisfaction in disclosure of the intentional object. In this way, intentionality is teleological. ","What's meant here by ""disclosure""? Is it just the idea that objects become perceived/experienced by us in the world? If so, how does that relate to satisfaction in a teleological way? It might be helpful for me to unpack this a bit!",Jargon
2,Intentionality,23,"Many kinds of everyday experience how ever are not object directed in this sense. Some include bodily feelings of pain, moods such as undirected anxiety, depression, and elation, and absorbed skillful activity in everyday life. ",I’m not sure what absorbed skillful activity in everyday life is—are these things you do automatically that are just part of life? I also found this section really interesting (and kind of funny because of course old philosophy ignored feelings). I’m also a little unsure how something like depression isn’t object directed because it seems like it’s just directed at life itself or everything that happens (or is that the problem that it isn’t something specific?),"Jargon, Just a thought"
2,Intentionality,24,"""These acts are animated by precognitive habits and sensibilities of the lived body.""","There are two phrases of interest here: ""sensibilities"" and ""lived body."" We learned earlier that ""lived body"" is a term of art coined by Husserl and developed by Merleau-Ponty, but it is still unclear what exactly it is referring to. ""Sensibility"" by itself is somewhat vague. It has colloquial meanings (ability to receive stimuli, rationality, etc.), but I know it also has a technical definition in Kantian philosophy. Which one is being used here?",Jargon
2,Intentionality,24,"Every mental act is the very act it is in virtue of that which it intends, and every object is constituted in and through the temporally extended course of intentional experience.",What does this sentence mean? and is there a way to phrase it so that it makes more sense?,Question
2,Intentionality,25,"Many kinds of everyday experience, however, are not object-directed in this sense. Such experiences include bodily feelings of pain, moods such as undirected anxiety, depression, and elation, and absorbed skillful activity in everyday life. These experiences are not or need not be “about” any intentional object. They are not directed toward a transcendent object, in the sense of something experienced as standing over against oneself as a distinct subject. Put another way, they do not have a clear subject-object structure.","I think he's saying that we can expand intentional experiences to encompass an even wider range of experiences. Even if they're not about a specific experience, we can still think of them as intentional because they involve some kind of anticipation or priming for action, even if it's not as obvious as something that's obviously object-directed and intentional (like being hungry for pizza). It seems like these kinds of experiences or moods are world-involved and action guiding, but they don't point to a very specific action. A general feeling of sadness, for example is definitely object directed in terms of the object of thought and potential action, but it's not very specific about what that object is...",Question
2,Intentionality,26,"A given autonomous network usually possesses a multiplicity of self-behaviors (or, as they are sometimes called, ""attractors""..) .......","Question: How to understand ""a multiplicity of self-behaviors"" ? What is an attractor in the context of mind science? ",Question
2,Intentionality,26,"It should be obvious, too, that this line of argument . . . provides us with at least the germ of a very satisfactory model of what Brentano called “immanent objectivity” . . . The attractor is an entity that both fully participates in the activity of the network and yet in some sense, by virtue of the fact that it results from a higher level of logical complexity, transcends the activity of the network. The dynamics of the network may therefore be said to tend toward an attractor, although the latter is only a product of these dynamics. The network is thus an intentional creature in Brentano and Husserl’s sense.","So (according to my understanding), attractors in a system are mutually defining through the act of intentionality. They are the result of the interaction within the system, but they transcend the system.
My questions regards the meaning of ""transcendence"" on this page and next. It seems to have the possible meanings of 1) going beyond and not being limited by soemthing, and on the next page, 2) (under the context of consciousness bringing experience to awareness) a *mode* of givenness or disclosure; I wonder how these two concepts interact.",Add Context
2,Intentionality,27,"Thus, at a transcendental level, what is really or genuinely transcendent is also phenomenologically immanent","He never explains what immanent means so a definition of that would be helpful. This entire sentence also just feels rather jargon-filled. Also just, what does this mean?","Question , Jargon"
2,Intentionality,27,"It does not mean that what appears to be beyond or outside the sphere of mental activity is really contained within the mind (in some idealist or internalist sense). Rather, the crucial point is that the transcendent is given as such by virtue of the intentional activities of consciousness.",Question: How the latter point is different from the idealist or internalist sense? ,Question
2,Intentionality,27,Because this notion of transcendence-within-immanence....intentional activities of consciousness.,This remains me of freud and his theory of unconsciousness. Does the hidden transcendence has a relationship with the unconsciousness? How are they similar and different?,Connection
2,From Static to Genetic Phenomenology,29,The paragraph beginning with genetic phenomenology distinguishes between active and passive genesis. ,I’ve read this a few times and am struggling to determine what this means and would love to hear what other people got from it ,"Question , Translation  style entry, Jargon"
